rownames,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,PredictGroup,PredictMessage
420B06|BUDCHT2,22.517654245992972,27.277140617386976,22.517654245992972,0.1770787441983841,0.1770787441983841,0,0,420B06|BUDCHT,ESB
420B06|BUQUET2,-0.5522137322440002,1.8649929701856696,1.7813643009679736,-0.2039007849569272,0.37949372334606624,-0,-0,420B06|BUQUET,ESB
420B06|CARBRS2,6.86836071826491,13.973554700716974,12.16905304523425,0.07919733897682853,0.18521118551621535,0,0,420B06|CARBRS,ESB
420B06|CARPRM2,7.377491025579502,13.840738749031475,11.710622327034343,0.0364967734792282,0.059423394121846405,0,0,420B06|CARPRM,ESB
420B06|CARROLL2,15.84002463031684,25.56166719500357,20.062214471465445,0.16411280907002135,0.24855660589299344,0,0,420B06|CARROLL,ESB
420B06|CHAMPGN2,8.407445120973968,8.488592479200584,8.407445120973968,0.5072831658510893,0.5072831658510893,0,0,420B06|CHAMPGN,ESB
420B06|CHEROKE2,-0.03735094699572353,0.03736411678809616,0.03735094699572353,-1e38,1e38,-0,-0,420B06|CHEROKE,ESB
420B06|CITYBEV2,10.146472446038018,41.769691430275316,40.51859103031849,-0.024799152713424172,0.31266883155635883,0,0,420B06|CITYBEV,ESB
420B06|CITYBNC2,1.5628276534464511,20.402290350696553,20.34234552060673,-0.4371462291290222,0.8148216286816632,0,0,420B06|CITYBNC,ESB
420B06|COMER2,14.71059796785664,18.720020223750584,14.71059796785664,0.21519282925377636,0.21519282925377636,0,0,420B06|COMER,ESB
420B06|CONEOCT2,11.253116422226874,11.943236245392654,11.253116422226874,0.10111210489719247,0.10111210489719247,0,0,420B06|CONEOCT,ESB
420B06|CSTLBV2,1.1521350374126005,4.001554008516098,3.8321037745130955,0.027978109387640213,0.11442871381023682,0,0,420B06|CSTLBV,ESB
420B06|DAYTONA2,16.336094704364243,21.7054410366449,16.336094704364243,0.19199324547147636,0.19199324547147636,0,0,420B06|DAYTONA,ESB
420B06|DELPAPA2,2.9224366225774823,2.944141119037962,2.9224366225774823,0.27733788280093363,0.27733788280093363,0,0,420B06|DELPAPA,ESB
420B06|DET2,10.78810708055235,36.229891047562994,34.58643882993479,0.023504648989703225,0.1587224430202853,0,0,420B06|DET,ESB
420B06|EAGLKX2,7.6822184742711315,9.138041094362745,7.6822184742711315,0.07868610698052425,0.07868610698052425,0,0,420B06|EAGLKX,ESB
420B06|EGLSHRV2,0.9875739222541542,0.9966183103605328,0.9875739222541542,0.088908023339839,0.088908023339839,0,0,420B06|EGLSHRV,ESB
420B06|EMPIRE2,10.124933719312963,11.742956924231462,10.124933719312963,0.11560794041979978,0.11560794041979978,0,0,420B06|EMPIRE,ESB
420B06|ESDMD2,4.4089293877586835,4.912260292551834,4.4089293877586835,0.20890160516633483,0.20890160516633483,0,0,420B06|ESDMD,ESB
420B06|FEB2,7.129010663884543,7.550450466205787,7.129010663884543,0.25174930866212125,0.25174930866212125,0,0,420B06|FEB,ESB
420B06|FICK2,7.9251244528736,13.085595916404051,10.412743293382167,0.13641612231568867,0.20958138233064655,0,0,420B06|FICK,ESB
420B06|FUHRER2,3.9825424428673983,16.683589109665657,16.201280852787974,-0.01178063734265844,0.337326174369358,0,0,420B06|FUHRER,ESB
420B06|GCBEVN2,-7.144966282495574,31.584477685400714,30.76570635434163,-0.11028913475517241,0.2688175916131996,-0,-0,420B06|GCBEVN,ESB
420B06|GENUTAH2,-0.049178294948382516,0.049178294948382516,0.049178294948382516,-1e38,1e38,-0,-0,420B06|GENUTAH,ESB
420B06|GOLDCST2,-8.080826700291933,32.09080348444018,31.056720820408696,-1.6148659033297141,1.943092962188525,-0,-0,420B06|GOLDCST,ESB
420B06|GREENCO2,2.518064532696343,19.704447247218134,19.542891094400005,-0.014131720442360912,0.18383137911233283,0,0,420B06|GREENCO,ESB
420B06|GRGPEN2,21.109338256085266,29.662339853709195,21.109338256085266,0.07092390010800768,0.07092390010800768,0,0,420B06|GRGPEN,ESB
420B06|GRTBY2,15.80161431160576,19.543192156467512,15.80161431160576,0.1477024174861915,0.1477024174861915,0,0,420B06|GRTBY,ESB
420B06|GULFMB2,15.02924860355008,15.341700110346125,15.02924860355008,0.1248505725667964,0.1248505725667964,0,0,420B06|GULFMB,ESB
420B06|GUYMD2,-1.139288333776328,3.242805792177366,3.036084896425038,-0.28472121709515685,0.4111743212717375,-0,-0,420B06|GUYMD,ESB
420B06|GWCSPT2,2.6141593522051334,5.342311013392798,4.659018978829815,0.06763428127922483,0.1462827284570972,0,0,420B06|GWCSPT,ESB
420B06|HARRISD2,-1.635266121924655,2.603924509530159,2.026407550769928,-0.02979560829292315,0.03678027666516017,-0,-0,420B06|HARRISD,ESB
420B06|HOFFMAN2,6.511679077384571,10.774792043513834,8.584531389314215,0.12072769087361765,0.17527643592439776,0,0,420B06|HOFFMAN,ESB
420B06|HOLSTON2,15.308004400134624,16.781685995984915,15.308004400134624,0.2828919039936102,0.2828919039936102,0,0,420B06|HOLSTON,ESB
420B06|IBKOREA2,-0.04698455976887905,0.04698455976887905,0.04698455976887905,-1e38,1e38,-0,-0,420B06|IBKOREA,ESB
420B06|IHCGSO2,4.127861466858505,11.532611017238029,10.768559633736757,0.040727128731474514,0.14783516368112373,0,0,420B06|IHCGSO,ESB
420B06|JACKSON2,9.713814181070006,9.918533285888364,9.713814181070006,0.21701596100996806,0.21701596100996806,0,0,420B06|JACKSON,ESB
