rownames,PredictGroup,PredictDate,PredictValue,PredictValue_StdPlus,PredictValue_StdMinus,PredictValue_StdPlus2,PredictValue_StdMinus2,PredictMessage
420B06|MONARCH105,420B06|MONARCH,2016-12-26,0.06828597131402603,0.09018216909049101,0.06880290150690485,0.09980317295774072,0.05918189763965515,XGB
420B06|MONARCH106,420B06|MONARCH,2017-01-02,0,0.08348255429104626,0.001970874273800695,0.1201640816448656,-0.03471065308001865,XGB
420B06|MONARCH107,420B06|MONARCH,2017-01-09,0,0.08814135865121014,0.002080860339010282,0.12686992518614584,-0.03664770619592542,XGB
420B06|MONARCH108,420B06|MONARCH,2017-01-16,0,0.11562875656544269,0.002729788799129211,0.16643505295709865,-0.04807650759252673,XGB
420B06|MONARCH109,420B06|MONARCH,2017-01-23,0,0.09280018522633239,0.0021908469286754245,0.13357580070344902,-0.0385847685484412,XGB
420B06|MONARCH110,420B06|MONARCH,2017-01-30,0.029660269975920528,0.09348426150075788,0.031167040630170464,0.1215279828606271,0.003123319270301246,XGB
420B06|MONARCH111,420B06|MONARCH,2017-02-06,0.08354591876161521,0.08267704894064352,0.04674221546843639,0.09884828448243124,0.030570979926648666,XGB
420B06|MONARCH112,420B06|MONARCH,2017-02-13,0.0659016255589222,0.06535171385067702,0.04260839237346385,0.07558656324534778,0.03237354297879309,XGB
420B06|MONARCH113,420B06|MONARCH,2017-02-20,0.04301219554645286,0.0426712565464398,0.02857065609521367,0.049016746678007414,0.022225165963646057,XGB
420B06|MONARCH114,420B06|MONARCH,2017-02-27,0.12265059693788771,0.2666232691716737,0.12604953505430733,0.32988364206748133,0.06278916215849975,XGB
420B06|MONARCH115,420B06|MONARCH,2017-03-06,0,0.04341775381156372,0.0010250157621566752,0.062495147137693455,-0.018052377563973057,XGB
420B06|MONARCH116,420B06|MONARCH,2017-03-13,0,0.11329928607345865,0.0026747941538022013,0.16308203285888517,-0.0471079526316243,XGB
420B06|MONARCH117,420B06|MONARCH,2017-03-20,0,0.11609465133031713,0.0027407877439289685,0.16710565793606358,-0.04827021886181748,XGB
420B06|MONARCH118,420B06|MONARCH,2017-03-27,0,0.11609465133031713,0.0027407877439289685,0.16710565793606358,-0.04827021886181748,XGB
420B06|MONARCH119,420B06|MONARCH,2017-04-03,0.5896404234594002,0.5787819073379821,0.12969395519566418,0.7808784902730151,-0.0724026277393689,XGB
420B06|MONARCH120,420B06|MONARCH,2017-04-10,0.18846436097715014,0.18656148908550396,0.1078622606225127,0.22197736937381268,0.07244638033420399,XGB
420B06|MONARCH121,420B06|MONARCH,2017-04-17,0.18846436097715014,0.18662748201480014,0.11065759788782173,0.2208151147820387,0.0764699651205832,XGB
420B06|MONARCH122,420B06|MONARCH,2017-04-24,0.20420307663152926,0.20200320427843027,0.11102059127857071,0.242946799193542,0.07007699636345899,XGB
420B06|MONARCH123,420B06|MONARCH,2017-05-01,0.9332245910960637,0.9142107678923557,0.12783454212917983,1.2680923346766773,-0.22604702465514193,XGB
420B06|MONARCH124,420B06|MONARCH,2017-05-08,5.648868301531252,5.520962188602151,0.23100417965161046,7.90152580064917,-2.1495594323954093,XGB
420B06|MONARCH125,420B06|MONARCH,2017-05-15,7.619269843318648,7.446402884611606,0.2969482435959576,10.663768983848193,-2.920417855640629,XGB
420B06|MONARCH126,420B06|MONARCH,2017-05-22,1.0587576689665639,24.316544653731675,1.6078325556069988,34.53581928800656,-8.611442078667885,XGB
420B06|MONARCH127,420B06|MONARCH,2017-05-29,1.2330026666294316,4.44673177410346,1.308873081408587,5.858817127320995,-0.10321227180894743,XGB
420B06|MONARCH128,420B06|MONARCH,2017-06-05,3.2622031577091093,634.7674055478102,18.170915136296003,912.2454433518856,-259.30712266777937,XGB
420B06|MONARCH129,420B06|MONARCH,2017-06-12,363.8952932172356,363.8860548019489,363.5039711953354,364.0579983843223,363.332027612962,XGB
420B06|MONARCH130,420B06|MONARCH,2017-06-19,145.46095099260356,254.8678946306676,148.0438538807888,302.94037911366627,99.97136939779008,XGB
420B06|MONARCH131,420B06|MONARCH,2017-06-26,159.8765978147103,317.26241766248893,163.5921964332864,386.4164140258796,94.43820006989577,XGB
